"00BL001","Blackrod"
"13UG038","Plumley"
"13UG039","Pott Shrigley"
"13UG040","Poynton-with-Worth"
"13UG041","Prestbury"
"13UG042","Rainow"
"13UG043","Rostherne"
"13UG044","Siddington"
"13UG045","Snelson"
"13UG046","Sutton"
"13UG047","Tabley Inferior"
"13UG048","Tabley Superior"
"13UG049","Tatton"
"13UG050","Toft"
"13UG051","Wincle"
"13UH001","Acton Bridge"
"13UH002","Allostock"
"13UH003","Alvanley"
"13UH004","Anderton with Marbury"
"13UH005","Antrobus"
"13UH006","Aston"
"13UH007","Barnton"
"13UH008","Bostock"
"13UH009","Byley"
"13UH010","Comberbach"
"13UH011","Crowton"
"13UH012","Cuddington"
"13UH013","Darnhall"
"13UH014","Davenham"
"13UH015","Delamere"
"13UH016","Dutton"
"13UH017","Frodsham"
"13UH018","Great Budworth"
"13UH019","Hartford"
"13UH020","Helsby"
"13UH021","Kingsley"
"13UH022","Lach Dennis"
"13UH023","Little Budworth"
"13UH024","Little Leigh"
"13UH025","Lostock Gralam"
"13UH026","Manley"
"13UH027","Marston"
"13UH028","Moulton"
"13UH029","Nether Peover"
"13UH030","Norley"
"13UH031","Northwich"
"13UH032","Oakmere"
"13UH033","Rudheath"
"13UH034","Rushton"
"13UH035","Sproston"
"13UH036","Stanthorne"
"13UH037","Sutton"
"13UH038","Tarporley"
"13UH039","Utkinton"
"13UH040","Weaverham"
"13UH041","Whitegate and Marton"
"13UH042","Whitley"
"13UH043","Wimboldsley"
"13UH044","Wincham"
"13UH045","Winsford"
"15UB001","Antony"
"15UB002","Boconnoc"
"15UB003","Botusfleming"
"15UB004","Broadoak"
"15UB005","Callington"
"15UB006","Calstock"
"15UB007","Dobwalls and Trewidland"
"15UB008","Duloe"
"15UB009","Landrake with St. Erney"
"15UB010","Landulph"
"15UB011","Lanreath"
"15UB012","Lansallos"
"15UB013","Lanteglos"
"15UB014","Linkinhorne"
"15UB015","Liskeard"
"15UB016","Looe"
"15UB017","Maker-with-Rame"
"15UB018","Menheniot"
"15UB019","Millbrook"
"15UB020","Morval"
"15UB021","Pelynt"
"15UB022","Pillaton"
"15UB023","Quethiock"
"15UB024","St. Cleer"
"15UB025","St. Dominick"
"15UB027","St. Ive"
"15UB028","St. John"
"15UB029","St. Keyne"
"15UB030","St. Martin-by-Looe"
"15UB031","St. Mellion"
"15UB032","St. Neot"
"15UB033","St. Pinnock"
"15UB034","St. Veep"
"15UB035","St. Winnow"
"15UB036","Saltash"
"15UB037","Sheviock"
"15UB038","South Hill"
"15UB039","Torpoint"
"15UB040","Warleggan"
"15UB041","St. Germans"
"15UB042","Deviock"
"15UC001","Chacewater"
"15UC002","Cubert"
"15UC003","Cuby"
"15UC004","Falmouth"
"15UC005","Feock"
"15UC006","Gerrans"
"15UC007","Gwennap"
"15UC008","Kea"
"15UC009","Kenwyn"
"15UC010","Ladock"
"15UC011","Mylor"
"15UC012","Penryn"
"15UC013","Perranarworthal"
"15UC014","Perranzabuloe"
"15UC015","Philleigh"
"15UC016","Probus"
"15UC017","Ruanlanihorne"
"15UC018","St. Agnes"
"15UC019","St. Allen"
"15UC020","St. Clement"
"15UC021","St. Erme"
"15UC022","St. Just-in-Roseland"
"15UC023","St. Michael Penkevil"
"15UC024","St. Newlyn East"
"15UC025","Tregoney"
"15UC026","Truro"
"15UC027","Veryan"
"15UD001","Breage"
"15UD002","Budock"
"15UD003","Camborne"
"15UD004","Carharrack"
"15UD005","Carn Brea"
"15UD006","Constantine"
"15UD007","Crowan"
"15UD008","Cury"
"15UD009","Germoe"
"15UD010","Grade-Ruan"
"15UD011","Gunwalloe"
"15UD012","Gweek"
"15UD013","Helston"
"15UD014","Illogan"
"15UD015","Landewednack"
"15UD016","Lanner"
"15UD017","Mabe"
"15UD018","Manaccan"
"15UD019","Mawgan-in-Meneage"
"15UD020","Mawnan"
"15UD021","Mullion"
"15UD022","Porthleven"
"15UD023","Portreath"
"15UD024","Redruth"
"15UD025","St. Anthony-in-Meneage"
"15UD026","St. Day"
"15UD027","St. Gluvias"
"15UD028","St. Keverne"
"15UD029","St. Martin-in-Meneage"
"15UD030","Sithney"
"15UD031","Stithians"
"15UD032","Wendron"
"15UE001","Advent"
"15UE002","Altarnun"
"15UE003","Blisland"
"15UE004","Bodmin"
"15UE005","Boyton"
"15UE006","Bude-Stratton"
"15UE007","Camelford"
"15UE008","Cardinham"
"15UE009","Davidstow"
"15UE010","Egloshayle"
"15UE011","Egloskerry"
"15UE012","Forrabury and Minster"
"15UE013","Helland"
"15UE014","Jacobstow"
"15UE015","Kilkhampton"
"15UE016","Laneast"
"15UE017","Lanhydrock"
"15UE018","Lanivet"
"15UE019","Launcells"
"15UE020","Launceston"
"15UE021","Lawhitton Rural"
"15UE022","Lesnewth"
"15UE023","Lewannick"
"15UE024","Lezant"
"15UE025","Marhamchurch"
"15UE026","Michaelstow"
"15UE027","Morwenstow"
"15UE028","North Hill"
"15UE029","North Petherwin"
"15UE030","North Tamerton"
"15UE031","Otterham"
"15UE032","Padstow"
"15UE033","Poundstock"
"15UE034","St. Breock"
"15UE035","St. Breward"
"15UE036","St. Clether"
"15UE037","St. Endellion"
"15UE038","St. Ervan"
"15UE039","St. Eval"
"15UE040","St. Gennys"
"15UE041","St. Issey"
"15UE042","St. Juliot"
"15UE043","St. Kew"
"15UE044","St. Mabyn"
"15UE045","St. Merryn"
"15UE046","St. Minver Highlands"
"15UE047","St. Minver Lowlands"
"15UE048","St. Stephens by Launceston Rural"
"15UE049","St. Teath"
"15UE050","St. Thomas the Apostle Rural"
"15UE051","St. Tudy"
"15UE052","South Petherwin"
"15UE053","Stokeclimsland"
"15UE054","Tintagel"
"15UE055","Tremaine"
"15UE056","Treneglos"
"15UE057","Tresmeer"
"15UE058","Trevalga"
"15UE059","Trewen"
"15UE060","Wadebridge"
"15UE061","Warbstow"
"15UE062","Week St. Mary"
"15UE063","Werrington"
"15UE064","Whitstone"
"15UE065","Withiel"
"15UF001","Gwinear-Gwithian"
"15UF002","Hayle"
"15UF003","Ludgvan"
"15UF004","Madron"
"15UF005","Marazion"
"15UF006","Morvah"
"15UF007","Paul"
"15UF008","Penzance"
"15UF009","Perranuthnoe"
"15UF010","St. Buryan"
"15UF011","St. Erth"
"15UF012","St. Hilary"
"15UF013","St. Ives"
"15UF014","St. Just"
"15UF015","St. Levan"
"15UF016","St. Michael's Mount"
"15UF017","Sancreed"
"15UF018","Sennen"
"15UF019","Towednack"
"15UF020","Zennor"
"15UG001","Colan"
"15UG002","Crantock"
"15UG003","Fowey"
"15UG004","Grampound with Creed"
"15UG005","Lanlivery"
"15UG006","Lostwithiel"
"15UG007","Luxulyan"
"15UG008","Mawgan-in-Pydar"
"15UG009","Mevagissey"
"15UG010","Newquay"
"15UG011","Roche"
"15UG012","St. Blaise"
"15UG013","St. Columb Major"
"15UG014","St. Dennis"
"15UG015","St. Enoder"
"15UG016","St. Ewe"
"15UG017","St. Goran"
"15UG018","St. Mewan"
"15UG019","St. Michael Caerhays"
"15UG020","St. Sampson"
"15UG021","St. Stephen-in-Brannel"
"15UG022","St. Wenn"
"15UG023","Treverbyn"
"15UG024","Tywardreath"
"15UH001","Bryher"
"15UH002","St. Agnes"
"15UH003","St. Martin's"
"15UH004","St. Mary's"
"15UH005","Tresco"
"16UB001","Above Derwent"
"16UB002","Aikton"
"16UB003","Allhallows"
"16UB004","Allonby"
"16UB005","Aspatria"
"16UB006","Bassenthwaite"
"16UB007","Bewaldeth and Snittlegarth"
"16UB008","Blennerhasset and Torpenhow"
"16UB009","Blindbothel"
"16UB010","Blindcrake"
"16UB011","Boltons"
"16UB012","Borrowdale"
"16UB013","Bothel and Threapland"
"16UB014","Bowness"
"16UB015","Bridekirk"
"16UB016","Brigham"
"16UB017","Bromfield"
"16UB018","Broughton"
"16UB019","Broughton Moor"
"16UB020","Buttermere"
"16UB021","Caldbeck"
"16UB022","Camerton"
"16UB023","Cockermouth"
"16UB024","Crosscanonby"
"16UB025","Dean"
"16UB026","Dearham"
"16UB027","Dundraw"
"16UB028","Embleton"
"16UB029","Gilcrux"
"16UB030","Great Clifton"
"16UB031","Greysouthen"
"16UB032","Hayton and Mealo"
"16UB033","Holme Abbey"
"16UB034","Holme East Waver"
"16UB035","Holme Low"
"16UB036","Holme St Cuthbert"
"16UB037","Ireby and Uldale"
"16UB038","Keswick"
"16UB039","Kirkbampton"
"16UB040","Kirkbride"
"16UB041","Little Clifton"
"16UB042","Lorton"
"16UB043","Loweswater"
"16UB044","Maryport"
"16UB045","Oughterside and Allerby"
"16UB046","Papcastle"
"16UB047","Plumbland"
"16UB048","St John's Castlerigg and Wythburn"
"16UB049","Seaton"
"16UB050","Sebergham"
"16UB051","Setmurthy"
"16UB052","Silloth-on-Solway"
"16UB053","Thursby"
"16UB054","Underskiddaw"
"16UB055","Waverton"
"16UB056","Westnewton"
"16UB057","Westward"
"16UB058","Wigton"
"16UB059","Winscales"
"16UB060","Woodside"
"16UB061","Workington"
"16UB062","Wythop"
"16UB063","Lands common to Holme Abbey, Holme Low and Holme St Cuthbert"
"16UC001","Askam and Ireleth"
"16UC002","Dalton Town with Newton"
"16UC003","Lindal and Marton"
"16UD001","Arthuret"
"16UD002","Askerton"
"16UD003","Beaumont"
"16UD004","Bewcastle"
"16UD005","Brampton"
"16UD006","Burgh by Sands"
"16UD007","Burtholme"
"16UD008","Carlatton"
"16UD009","Castle Carrock"
"16UD010","Cummersdale"
"16UD011","Cumrew"
"16UD012","Cumwhitton"
"16UD013","Dalston"
"16UD014","Farlam"
"16UD016","Hayton"
"16UD017","Hethersgill"
"16UD018","Irthington"
"16UD019","Kingmoor"
"16UD020","Kingwater"
"16UD021","Kirkandrews"
"16UD022","Kirklinton Middle"
"16UD023","Midgeholme"
"16UD024","Nether Denton"
"16UD025","Nicholforest"
"16UD026","Orton"
"16UD027","Rockcliffe"
"16UD028","St Cuthbert Without"
"16UD029","Scaleby"
"16UD030","Solport"
"16UD031","Stanwix Rural"
"16UD032","Stapleton"
"16UD033","Upper Denton"
"16UD034","Walton"
"16UD035","Waterhead"
"16UD036","Westlinton"
"16UD037","Wetheral"
"16UE001","Arlecdon and Frizington"
"16UE002","Bootle"
"16UE003","Cleator Moor"
"16UE004","Distington"
"16UE005","Drigg and Carleton"
"16UE006","Egremont"
"16UE007","Ennerdale and Kinniside"
"16UE008","Eskdale"
"16UE009","Gosforth"
"16UE010","Haile"
"16UE011","Irton with Santon"
"16UE012","Lamplugh"
"16UE013","Lowca"
"16UE014","Lowside Quarter"
"16UE015","Millom"
"16UE016","Millom Without"
"16UE017","Moresby"
"16UE018","Muncaster"
"16UE019","Wasdale"
"16UE020","Parton"
"16UE021","Ponsonby"
"16UE022","St. Bees"
"16UE023","St. Bridget Beckermet"
"16UE024","St. John Beckermet"
"16UE025","Seascale"
"16UE026","Ulpha"
"16UE027","Waberthwaite"
"16UE028","Weddicar"
"16UE029","Whicham"
"16UF001","Ainstable"
"16UF002","Alston Moor"
"16UF003","Appleby-in-Westmorland"
"16UF004","Asby"
"16UF005","Askham"
"16UF006","Bampton"
"16UF007","Barton"
"16UF008","Bolton"
"16UF009","Brough"
"16UF010","Brougham"
"16UF011","Brough Sowerby"
"16UF012","Castle Sowerby"
"16UF013","Catterlen"
"16UF014","Cliburn"
"16UF015","Clifton"
"16UF016","Colby"
"16UF017","Crackenthorpe"
"16UF018","Crosby Garrett"
"16UF019","Crosby Ravensworth"
"16UF020","Culgaith"
"16UF021","Dacre"
"16UF022","Dufton"
"16UF023","Glassonby"
"16UF024","Great Salkeld"
"16UF025","Great Strickland"
"16UF026","Greystoke"
"16UF027","Hartley"
"16UF028","Helbeck"
"16UF029","Hesket"
"16UF030","Hoff"
"16UF031","Hunsonby"
"16UF032","Hutton"
"16UF033","Kaber"
"16UF034","King's Meaburn"
"16UF035","Kirkby Stephen"
"16UF036","Kirkby Thore"
"16UF037","Kirkoswald"
"16UF038","Langwathby"
"16UF039","Lazonby"
"16UF040","Little Strickland"
"16UF041","Long Marton"
"16UF042","Lowther"
"16UF043","Mallerstang"
"16UF044","Martindale"
"16UF045","Matterdale"
"16UF046","Milburn"
"16UF047","Morland"
"16UF048","Mungrisdale"
"16UF049","Murton"
"16UF050","Musgrave"
"16UF051","Nateby"
"16UF052","Newbiggin"
"16UF053","Newby"
"16UF054","Ormside"
"16UF055","Orton"
"16UF056","Ousby"
"16UF057","Patterdale"
"16UF058","Ravenstonedale"
"16UF059","Shap"
"16UF060","Shap Rural"
"16UF061","Skelton"
"16UF062","Sleagill"
"16UF063","Sockbridge and Tirril"
"16UF064","Soulby"
"16UF065","Stainmore"
"16UF066","Tebay"
"16UF067","Temple Sowerby"
"16UF068","Threlkeld"
"16UF069","Thrimby"
"16UF070","Waitby"
"16UF071","Warcop"
"16UF072","Wharton"
"16UF073","Winton"
"16UF074","Yanwath and Eamont Bridge"
"16UG001","Aldingham"
"16UG002","Angerton"
"16UG003","Arnside"
"16UG004","Barbon"
"16UG005","Beetham"
"16UG006","Blawith and Subberthwaite"
"16UG007","Broughton East"
"16UG008","Broughton West"
"16UG009","Burton-in-Kendal"
"16UG010","Cartmel Fell"
"16UG011","Casterton"
"16UG012","Claife"
"16UG013","Colton"
"16UG014","Coniston"
"16UG015","Crook"
"16UG016","Crosthwaite and Lyth"
"16UG017","Dent"
"16UG018","Docker"
"16UG019","Dunnerdale-with-Seathwaite"
"16UG020","Egton with Newland"
"16UG021","Fawcett Forest"
"16UG022","Firbank"
"16UG023","Garsdale"
"16UG024","Grange-over-Sands"
"16UG025","Grayrigg"
"16UG026","Haverthwaite"
"16UG027","Hawkshead"
"16UG028","Helsington"
"16UG029","Heversham"
"16UG030","Hincaster"
"16UG031","Holme"
"16UG032","Hugill"
"16UG033","Hutton Roof"
"16UG034","Kendal"
"16UG035","Kentmere"
"16UG036","Killington"
"16UG037","Kirkby Ireleth"
"16UG038","Kirkby Lonsdale"
"16UG039","Lakes"
"16UG040","Lambrigg"
"16UG041","Levens"
"16UG042","Longsleddale"
"16UG043","Lower Allithwaite"
"16UG044","Lower Holker"
"16UG045","Lowick"
"16UG046","Lupton"
"16UG047","Mansergh"
"16UG048","Mansriggs"
"16UG049","Meathop and Ulpha"
"16UG050","Middleton"
"16UG051","Milnthorpe"
"16UG052","Natland"
"16UG053","Nether Staveley"
"16UG054","New Hutton"
"16UG055","Old Hutton and Holmescales"
"16UG056","Osmotherley"
"16UG057","Over Staveley"
"16UG058","Pennington"
"16UG059","Preston Patrick"
"16UG060","Preston Richard"
"16UG061","Satterthwaite"
"16UG062","Scalthwaiterigg"
"16UG063","Sedbergh"
"16UG064","Sedgwick"
"16UG065","Skelsmergh"
"16UG066","Skelwith"
"16UG067","Stainton"
"16UG068","Staveley-in-Cartmel"
"16UG069","Strickland Ketel"
"16UG070","Strickland Roger"
"16UG071","Torver"
"16UG072","Ulverston"
"16UG073","Underbarrow and Bradleyfield"
"16UG074","Upper Allithwaite"
"16UG075","Urswick"
"16UG076","Whinfell"
"16UG077","Whitwell and Selside"
"16UG078","Windermere"
"16UG079","Witherslack"
"17UB001","Aldercar and Langley Mill"
"17UB002","Alderwasley"
"17UB003","Alfreton"
"17UB004","Ashleyhay"
"17UB005","Belper"
"17UB006","Codnor"
"17UB007","Crich"
"17UB008","Denby"
"17UB009","Dethick, Lea and Holloway"
"17UB010","Duffield"
"17UB011","Hazelwood"
"17UB012","Heanor and Loscoe"
"17UB013","Holbrook"
"17UB014","Horsley"
"17UB015","Horsley Woodhouse"
"17UB016","Idridgehay and Alton"
"17UB017","Ironville"
"17UB018","Kedleston"
"17UB019","Kilburn"
"17UB020","Kirk Langley"
"17UB021","Mackworth"
"17UB022","Mapperley"
"17UB023","Pentrich"
"17UB024","Quarndon"
"17UB025","Ravensdale Park"
"17UB026","Ripley"
"17UB027","Shipley"
"17UB028","Shottle and Postern"
"17UB029","Smalley"
"17UB030","Somercotes"
"17UB031","South Wingfield"
"17UB032","Swanwick"
"17UB033","Turnditch"
"17UB034","Weston Underwood"
"17UB035","Windley"
"17UC001","Ault Hucknall"
"17UC002","Barlborough"
"17UC003","Blackwell"
"17UC004","Clowne"
"17UC005","Elmton"
"17UC006","Glapwell"
"17UC007","Old Bolsover"
"17UC008","Pinxton"
"17UC009","Pleasley"
"17UC010","Scarcliffe"
"17UC011","Shirebrook"
"17UC012","South Normanton"
"17UC013","Tibshelf"
"17UC014","Whitwell"
"17UD001","Brimington"
"17UD002","Staveley"
"17UF001","Abney and Abney Grange"
"17UF002","Aldwark"
"17UF003","Alkmonton"
"17UF004","Ashbourne"
"17UF005","Ashford in the Water"
"17UF006","Atlow"
"17UF007","Bakewell"
"17UF008","Ballidon"
"17UF009","Baslow and Bubnell"
"17UF010","Beeley"
"17UF011","Biggin"
"17UF012","Birchover"
"17UF013","Blackwell in the Peak"
"17UF014","Bonsall"
"17UF015","Boylestone"
"17UF016","Bradbourne"
"17UF017","Bradley"
"17UF018","Bradwell"
"17UF019","Brailsford"
"17UF020","Brassington"
"17UF021","Brushfield"
"17UF022","Callow"
"17UF023","Calver"
"17UF024","Carsington"
"17UF025","Chatsworth"
"17UF026","Chelmorton"
"17UF027","Clifton and Compton"
"17UF028","Cromford"
"17UF029","Cubley"
"17UF030","Curbar"
"17UF031","Darley Dale"
"17UF032","Doveridge"
"17UF033","Eaton and Alsop"
"17UF034","Edensor"
"17UF035","Edlaston and Wyaston"
"17UF036","Elton"
"17UF037","Eyam"
"17UF038","Fenny Bentley"
"17UF039","Flagg"
"17UF040","Foolow"
"17UF041","Froggatt"
"17UF042","Gratton"
"17UF043","Great Hucklow"
"17UF044","Great Longstone"
"17UF045","Grindleford"
"17UF046","Grindlow"
"17UF047","Harthill"
"17UF048","Hartington Middle Quarter"
"17UF049","Hartington Nether Quarter"
"17UF050","Hartington Town Quarter"
"17UF051","Hassop"
"17UF052","Hathersage"
"17UF053","Hazlebadge"
"17UF054","Highlow"
"17UF055","Hognaston"
"17UF056","Hollington"
"17UF057","Hopton"
"17UF058","Hulland"
"17UF059","Hulland Ward"
"17UF060","Hungry Bentley"
"17UF061","Ible"
"17UF062","Ivonbrook Grange"
"17UF063","Kirk Ireton"
"17UF064","Kniveton"
"17UF065","Lea Hall"
"17UF066","Little Hucklow"
"17UF067","Little Longstone"
"17UF068","Litton"
"17UF069","Longford"
"17UF070","Mapleton"
"17UF071","Marston Montgomery"
"17UF072","Matlock Bath"
"17UF073","Matlock Town"
"17UF074","Mercaston"
"17UF075","Middleton and Smerrill"
"17UF076","Monyash"
"17UF077","Nether Haddon"
"17UF078","Newton Grange"
"17UF079","Norbury and Roston"
"17UF080","Northwood and Tinkersley"
"17UF081","Offcote and Underwood"
"17UF082","Offerton"
"17UF083","Osmaston"
"17UF084","Outseats"
"17UF085","Over Haddon"
"17UF086","Parwich"
"17UF087","Pilsley"
"17UF088","Rodsley"
"17UF089","Rowland"
"17UF090","Rowsley"
"17UF091","Sheldon"
"17UF092","Shirley"
"17UF093","Snelston"
"17UF094","Somersal Herbert"
"17UF095","South Darley"
"17UF096","Stanton"
"17UF097","Stoney Middleton"
"17UF098","Sudbury"
"17UF099","Taddington"
"17UF100","Tansley"
"17UF101","Thorpe"
"17UF102","Tideswell"
"17UF103","Tissington"
"17UF104","Wardlow"
"17UF105","Wheston"
"17UF106","Winster"
"17UF107","Wirksworth"
"17UF108","Yeaveley"
"17UF109","Yeldersley"
"17UF110","Youlgreave"
"17UF111","Middleton"
"17UG001","Breadsall"
"17UG002","Breaston"
"17UG003","Dale Abbey"
"17UG004","Draycott and Church Wilne"
"17UG005","Hopwell"
"17UG006","Little Eaton"
"17UG007","Morley"
"17UG008","Ockbrook and Borrowash"
"17UG009","Risley"
"17UG010","Sandiacre"
"17UG011","Stanley and Stanley Common"
"17UG012","Stanton by Dale"
"17UG013","West Hallam"
"17UG014","Sawley"
"17UH001","Aston"
"17UH002","Bamford"
"17UH003","Brough and Shatton"
"17UH004","Castleton"
"17UH005","Chapel en le Frith"
"17UH006","Charlesworth"
"17UH007","Chinley, Buxworth and Brownside"
"17UH008","Chisworth"
"17UH009","Derwent"
"17UH010","Edale"
"17UH011","Green Fairfield"
"17UH012","Hartington upper Quarter"
"17UH013","Hayfield"
"17UH014","Hope"
"17UH015","Hope Woodlands"
"17UH016","King Sterndale"
"17UH017","New Mills"
"17UH018","Peak Forest"
"17UH019","Thornhill"
"17UH020","Tintwistle"
"17UH021","Whaley Bridge"
"17UH022","Wormhill"
"17UJ001","Ashover"
"17UJ002","Barlow"
"17UJ003","Brackenfield"
"17UJ004","Brampton"
"17UJ005","Calow"
"17UJ006","Clay Cross"
"17UJ007","Dronfield"
"17UJ008","Eckington"
"17UJ009","Grassmoor, Hasland and Winswick"
"17UJ010","Heath and Holmewood"
"17UJ011","Holmesfield"
"17UJ012","Holymoorside and Walton"
"17UJ013","Killamarsh"
"17UJ014","Morton"
"17UJ015","North Wingfield"
"17UJ016","Pilsley"
"17UJ017","Shirland and Higham"
"17UJ018","Stretton"
"17UJ019","Sutton cum Duckmanton"
"17UJ020","Temple Normanton"
"17UJ021","Tupton"
"17UJ022","Unstone"
"17UJ023","Wessington"
"17UJ024","Wingerworth"
"17UK001","Ash"
"17UK002","Aston upon Trent"
"17UK003","Barrow upon Trent"
"17UK004","Barton Blount"
"17UK005","Bearwardcote"
"17UK006","Bretby"
"17UK007","Burnaston"
"17UK008","Calke"
"17UK009","Castle Gresley"
"17UK010","Catton"
"17UK011","Cauldwell"
"17UK012","Church Broughton"
"17UK013","Coton in the Elms"
"17UK014","Dalbury Lees"
"17UK015","Drakelow"
"17UK016","Egginton"
"17UK017","Elvaston"
"17UK018","Etwall"
"17UK019","Findern"
"17UK020","Foremark"
"17UK021","Foston and Scropton"
"17UK022","Hartshorne"
"17UK023","Hatton"
"17UK024","Hilton"
"17UK025","Hoon"
"17UK026","Ingleby"
"17UK027","Linton"
"17UK028","Lullington"
"17UK029","Marston on Dove"
"17UK030","Melbourne"
"17UK031","Netherseal"
"17UK032","Newton Solney"
"17UK033","Osleston and Thurvaston"
"17UK034","Overseal"
"17UK035","Radbourne"
"17UK036","Repton"
"17UK037","Rosliston"
"17UK038","Shardlow and Great Wilne"
"17UK039","Smisby"
"17UK040","Stanton by Bridge"
"17UK041","Stenson Fields"
"17UK042","Sutton on the Hill"
"17UK043","Swarkestone"
"17UK044","Ticknall"
"17UK045","Trusley"
"17UK046","Twyford and Stenson"
"17UK047","Walton upon Trent"
"17UK048","Weston upon Trent"
"17UK049","Willington"
"17UK050","Woodville"
"18UB001","All Saints"
"18UB002","Awliscombe"
"18UB003","Axminster"
"18UB004","Axmouth"
"18UB005","Aylesbeare"
"18UB006","Beer"
"18UB007","Bicton"
"18UB008","Brampford Speke"
"18UB009","Branscombe"
"18UB010","Broad Clyst"
"18UB011","Broadhembury"
"18UB012","Buckerell"
"18UB013","Budleigh Salterton"
"18UB014","Chardstock"
"18UB015","Clyst Honiton"
"18UB016","Clyst Hydon"
"18UB017","Clyst St. George"
"18UB018","Clyst St. Lawrence"
"18UB019","Clyst St. Mary"
"18UB020","Colaton Raleigh"
"18UB021","Colyton"
"18UB022","Combe Raleigh"
"18UB023","Combpyne Rousdon"
"18UB024","Cotleigh"
"18UB025","Dalwood"
"18UB026","Dunkeswell"
"18UB027","East Budleigh"
"18UB028","Farringdon"
"18UB029","Farway"
"18UB030","Feniton"
"18UB031","Gittisham"
"18UB032","Hawkchurch"
"18UB033","Honiton"
"18UB034","Huxham"
"18UB035","Kilmington"
"18UB036","Luppitt"
"18UB037","Lympstone"
"18UB038","Membury"
"18UB039","Monkton"
"18UB040","Musbury"
"18UB041","Nether Exe"
"18UB042","Newton Poppleford and Harpford"
"18UB043","Northleigh"
"18UB044","Offwell"
"18UB045","Otterton"
"18UB046","Ottery St. Mary"
"18UB047","Payhembury"
"18UB048","Plymtree"
"18UB049","Poltimore"
"18UB050","Rewe"
"18UB051","Rockbeare"
"18UB052","Seaton"
"18UB053","Sheldon"
"18UB054","Shute"
"18UB055","Sidmouth"
"18UB056","Southleigh"
"18UB057","Sowton"
"18UB058","Stockland"
"18UB059","Stoke Canon"
"18UB060","Talaton"
"18UB061","Uplyme"
"18UB062","Upottery"
"18UB063","Upton Pyne"
"18UB064","Whimple"
"18UB065","Widworthy"
"18UB066","Woodbury"
"18UB067","Yarcombe"
"18UB068","Lands Common to Axminster and Kilmington C.P.s"
"18UB069","Exmouth"
"18UD001","Bampton"
"18UD002","Bickleigh"
"18UD003","Bow"
"18UD004","Bradninch"
"18UD005","Brushford"
"18UD006","Burlescombe"
"18UD007","Butterleigh"
"18UD008","Cadbury"
"18UD009","Cadeleigh"
"18UD010","Chawleigh"
"18UD011","Cheriton Bishop"
"18UD012","Cheriton Fitzpaine"
"18UD013","Clannaborough"
"18UD014","Clayhanger"
"18UD015","Clayhidon"
"18UD016","Coldridge"
"18UD017","Colebrooke"
"18UD018","Crediton"
"18UD019","Crediton Hamlets"
"18UD020","Cruwys Morchard"
"18UD021","Cullompton"
"18UD022","Culmstock"
"18UD023","Down St. Mary"
"18UD024","Eggesford"
"18UD025","Halberton"
"18UD026","Hemyock"
"18UD027","Hittisleigh"
"18UD028","Hockworthy"
"18UD029","Holcombe Rogus"
"18UD030","Huntsham"
"18UD031","Kennerleigh"
"18UD032","Kentisbeare"
"18UD033","Lapford"
"18UD034","Loxbeare"
"18UD035","Morchard Bishop"
"18UD036","Morebath"
"18UD037","Newton St. Cyres"
"18UD038","Nymet Rowland"
"18UD039","Oakford"
"18UD040","Poughill"
"18UD041","Puddington"
"18UD042","Sampford Peverell"
"18UD043","Sandford"
"18UD044","Shobrooke"
"18UD045","Silverton"
"18UD046","Stockleigh English"
"18UD047","Stockleigh Pomeroy"
"18UD048","Stoodleigh"
"18UD049","Templeton"
"18UD050","Thelbridge"
"18UD051","Thorverton"
"18UD052","Tiverton"
"18UD053","Uffculme"
"18UD054","Uplowman"
"18UD055","Upton Hellions"
"18UD056","Washfield"
"18UD057","Washford Pyne"
"18UD058","Wembworthy"
"18UD059","Willand"
"18UD060","Woolfardisworthy"
"18UD061","Zeal Monachorum"
"18UD062","Copplestone"
"18UE001","Arlington"
"18UE002","Ashford"
"18UE003","Atherington"
"18UE004","Barnstaple"
"18UE005","Berrynarbor"
"18UE006","Bishop's Nympton"
"18UE007","Bishop's Tawton"
"18UE008","Bittadon"
"18UE009","Bratton Fleming"
"18UE010","Braunton"
"18UE011","Brayford"
"18UE012","Brendon"
"18UE013","Burrington"
"18UE014","Challacombe"
"18UE015","Chittlehamholt"
"18UE016","Chittlehampton"
"18UE017","Chulmleigh"
"18UE018","Combe Martin"
"18UE019","Countisbury"
"18UE020","East and West Buckland"
"18UE021","East Anstey"
"18UE022","East Down"
"18UE023","East Worlington"
"18UE024","Filleigh"
"18UE025","Fremington"
"18UE026","Georgeham"
"18UE027","George Nympton"
"18UE028","Goodleigh"
"18UE029","Heanton Punchardon"
"18UE030","Ilfracombe"
"18UE031","Instow"
"18UE032","Kentisbury"
"18UE033","King's Nympton"
"18UE034","Knowstone"
"18UE035","Landkey"
"18UE036","Loxhore"
"18UE037","Lynton and Lynmouth"
"18UE038","Mariansleigh"
"18UE039","Martinhoe"
"18UE040","Marwood"
"18UE041","Meshaw"
"18UE042","Molland"
"18UE043","Mortehoe"
"18UE044","Horwood, Lovacott and Newton Tracey"
"18UE045","North Molton"
"18UE046","Parracombe"
"18UE047","Queen's Nympton"
"18UE048","Rackenford"
"18UE049","Romansleigh"
"18UE050","Rose Ash"
"18UE051","Satterleigh and Warkleigh"
"18UE052","Shirwell"
"18UE053","South Molton"
"18UE054","Stoke Rivers"
"18UE055","Swimbridge"
